,Precision,Recall,F1-Score
Azure,0.75,0.7951807228915663,0.7719298245614035
Google Cloud,0.5964912280701754,0.40963855421686746,0.4857142857142857
SpeechRecognition (Google),0.5757575757575758,0.4578313253012048,0.5100671140939598
wav2vec,0.10714285714285714,0.07228915662650602,0.08633093525179855
Vosk,0.056818181818181816,0.060240963855421686,0.05847953216374269
Whisper,0.961038961038961,0.891566265060241,0.9249999999999999
